Date,Open,High,Low,Close*,Adj Close**,Volume
4/8/2022,"1,928.80",1947.70,1928.80,1941.60,1941.60,153.00
4/7/2022,"1,919.50",1934.80,1919.50,1933.80,1933.80,311.00
4/6/2022,"1,916.70",1931.80,1916.70,1918.40,1918.40,138.00
4/5/2022,"1,927.10",1943.50,1918.40,1922.90,1922.90,412.00
4/4/2022,"1,921.20",1936.10,1915.60,1929.20,1929.20,371.00
4/1/2022,"1,935.00",1938.00,1917.00,1919.10,1919.10,1016.00
3/31/2022,"1,933.50",1949.90,1919.10,1949.20,1949.20,3617.00
3/30/2022,"1,918.40",1937.00,1914.50,1933.50,1933.50,17765.00
3/29/2022,"1,893.50",1912.00,1893.50,1912.00,1912.00,128051.00
3/28/2022,"1,932.60",1939.60,1932.60,1939.60,1939.60,7.00
3/25/2022,"1,953.80",1953.80,1953.80,1953.80,1953.80,83.00
3/24/2022,"1,963.60",1964.00,1961.60,1961.60,1961.60,8.00
3/23/2022,"1,936.60",1936.60,1936.60,1936.60,1936.60,204.00
